round,table_usage,runtime_ns
8,9.54,39.00
8,10.73,36.00
8,11.92,40.00
8,13.11,43.00
8,14.31,40.00
8,15.50,43.00
8,16.69,40.00
8,17.88,40.00
8,19.07,39.00
8,20.27,39.00
8,21.46,36.00
8,22.65,43.00
8,23.84,36.00
8,25.03,40.00
8,26.23,40.00
8,27.42,43.00
8,28.61,40.00
8,29.80,43.00
8,30.99,43.00
8,32.19,40.00
8,33.38,39.00
8,34.57,43.00
8,35.76,43.00
8,36.95,43.00
8,38.15,40.00
8,39.34,44.00
8,40.53,44.00
8,41.72,44.00
8,42.92,44.00
8,44.11,43.00
8,45.30,44.00
8,46.49,44.00
8,47.68,47.00
8,48.88,44.00
8,50.07,44.00
8,51.26,44.00
8,52.45,51.00
8,53.64,47.00
8,54.84,47.00
8,56.03,43.00
8,57.22,44.00
8,58.41,48.00
8,59.60,48.00
8,60.80,51.00
8,61.99,55.00
8,63.18,51.00
8,64.37,44.00
8,65.57,55.00
8,66.76,48.00
8,67.95,47.00
8,69.14,47.00
8,70.33,48.00
8,71.53,51.00
8,72.72,52.00
8,73.91,51.00
8,75.10,51.00
8,76.29,52.00
8,77.49,55.00
8,78.68,52.00
8,79.87,56.00
8,81.06,52.00
8,82.25,55.00
8,83.45,59.00
8,84.64,64.00
8,85.83,60.00
8,87.02,67.00
8,88.21,64.00
8,89.41,72.00
8,90.60,75.00
8,91.79,83.00
8,92.98,88.00
8,94.18,95.00
8,95.37,115.00
8,96.56,139.00
8,0.00,0.00
